m_phi_low,m_phi_high,min_N_phi,max_N_phi
2.97890532e-02,4.45593107e-02,4.00895438e-06,1.73886056e-02
4.45593107e-02,5.93295683e-02,3.56342148e-06,1.15629367e-02
5.93295683e-02,7.40998259e-02,3.15765312e-06,8.53073007e-03
7.40998259e-02,8.88700835e-02,2.96607085e-06,6.76244034e-03
8.88700835e-02,1.03640341e-01,2.64595752e-06,5.54592319e-03
1.03640341e-01,1.18410599e-01,2.50351145e-06,4.70466101e-03
1.18410599e-01,1.33180856e-01,2.27486807e-06,3.98530165e-03
1.33180856e-01,1.47951114e-01,2.14067212e-06,3.48744230e-03
1.47951114e-01,1.62721371e-01,2.00567693e-06,2.91486398e-03
1.62721371e-01,1.77491629e-01,1.80269186e-06,2.55266358e-03
1.77491629e-01,1.92261887e-01,1.67233727e-06,2.28597613e-03
1.92261887e-01,2.07032144e-01,1.54911885e-06,1.97309605e-03
2.07032144e-01,2.21802402e-01,3.21308765e-08,1.69580134e-03
2.21802402e-01,2.36572659e-01,1.80721313e-08,8.23986674e-07
2.36572659e-01,2.51342917e-01,1.46746832e-08,2.98076154e-07
2.51342917e-01,2.66113175e-01,1.26401056e-08,1.59795405e-07
2.66113175e-01,2.80883432e-01,1.21467635e-08,9.48563447e-08
2.80883432e-01,2.95653690e-01,1.24415327e-08,3.16352166e-08
2.95653690e-01,3.10423947e-01,1.26879190e-08,1.69036806e-08
