theta_squared_low,theta_squared_high,min_N_phi,max_N_phi
7.73967298e-10,3.38884652e-05,1.21467635e-08,5.34541363e-04
3.38884652e-05,6.77761563e-05,8.36548608e-04,1.21080052e-03
6.77761563e-05,1.01663848e-04,1.40956226e-03,2.19079967e-03
1.01663848e-04,1.35551539e-04,2.28597613e-03,3.22084923e-03
1.35551539e-04,1.69439230e-04,3.33245719e-03,4.17170934e-03
1.69439230e-04,2.03326921e-04,4.32487556e-03,5.12314251e-03
2.03326921e-04,2.37214612e-04,5.30932721e-03,5.99995348e-03
2.37214612e-04,2.71102303e-04,6.24661236e-03,7.03258137e-03
2.71102303e-04,3.04989995e-04,7.30503147e-03,7.90635609e-03
3.04989995e-04,3.38877686e-04,8.19737377e-03,8.86652874e-03
3.38877686e-04,3.72765377e-04,9.20455691e-03,9.94567212e-03
3.72765377e-04,4.06653068e-04,1.03238079e-02,1.07247174e-02
4.06653068e-04,4.40540759e-04,1.11320588e-02,1.15690970e-02
4.40540759e-04,4.74428451e-04,1.20079505e-02,1.24764381e-02
4.74428451e-04,5.08316142e-04,1.29420431e-02,1.34466004e-02
5.08316142e-04,5.42203833e-04,1.39571194e-02,1.44956637e-02
5.42203833e-04,5.76091524e-04,1.50441400e-02,1.50500320e-02
5.76091524e-04,6.09979215e-04,1.56181035e-02,1.62188558e-02
6.09979215e-04,6.43866907e-04,1.68286744e-02,1.73886056e-02
